key,question
206,QPFPRW200Q6_2. A British individual who already owns a British newspaper: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?
207,QPFPRW200Q6_3. A fund with significant investment from a Middle Eastern government: To what extent would you be concerned or unconcerned about each of the following owning a newspaper that operates exclusively in the UK?
208,SEGMENT.
209,Gender. In which of the following ways do you identify?
210,UKCities. What is the nearest city to where you live?
211,Occupation. Which of the following best describes the profession of the chief income earner in your household?
212,OccupationRetired. Which of the following best describes the previous occupation of the chief income earner in your household before retirement?
213,Occupation/OccupationRetired. Which of the following best describes the profession of the chief income earner in your household? Including previous occupation
214,dSEG. SEG - set from Occupation question
215,Ethnicity. How would you describe your ethnic origin?
216,"Q1. Have you ever been a victim of fraud? (Please note, this could be any type of fraud - such as text scams, romance fraud, cold calling, identity theft, investment fraud, etc.)"
217,Q1b. Did you lose any money when you were a victim of fraud?
218,Q2. What type of fraud were you a victim of?
219,"Q3. You said that you lost money as a result of being a victim of fraud. Which of the following statements, if any, apply to your experience of being a victim of fraud?"
220,"Q4. Reflecting on your experience(s) of being defrauded, how did you feel immediately after the incident (i.e., at the time you lost your money, or discovered the person you had been speaking with was not who they said they were)?"
221,"Q5_1. Your sleep: What impact, if any, did your experience of being defrauded have on the following:"
222,"Q5_2. Your personal relationships: What impact, if any, did your experience of being defrauded have on the following:"
223,"Q5_3. Your ability to work: What impact, if any, did your experience of being defrauded have on the following:"
224,"Q5_4. Your mood: What impact, if any, did your experience of being defrauded have on the following:"
225,"Q5. What impact, if any, did your experience of being defrauded have on the following: SUMMARY"
226,"Q6. Roughly, how long do you estimate that your sleep was impacted for, after you lost money from fraud? If you can't remember, please give your best guess."
227,"Q7. Which of the following reasons, if any, do you think explain why being defrauded impacted your sleep?"
228,"Q8. Since losing money, have you experienced any changes in your physical health that you feel could be a result of being a victim of fraud? Examples may include increased blood pressure or weight gain as a result of prolonged stress caused by the incident."
229,Q9. What changes have you experienced in your physical health since being a victim of fraud?
230,"Q10_1. I have struggled with alcohol misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
231,"Q10_2. I have struggled with drug/illegal substances misuse since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
232,"Q10_3. I have struggled with self-care since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
233,"Q10_4. I trust people less since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
234,"Q10_5. I trust my gut instinct more since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
235,"Q10_6. I am warier of strangers since being a victim of fraud: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
236,"Q10_7. I feel more confident in my ability to spot fraud since being a victim: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
237,"Q10_8. Being a victim of fraud has made me more mindful of how I spend my money: Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements?"
238,"Q10. Reflecting on your experience(s) of having money stolen from you by fraudsters, to what extent do you agree or disagree with each the following statements? SUMMARY"
239,Q11. To what extent do you agree or disagree with the following statement: 'Being a victim of fraud has had a negative impact on my mental health'?
240,"Q12. In what way(s) has being a victim of fraud impacted your mental health? If fraudsters have stolen money from you on more than one occasion, please consider how, collectively, being defrauded has had a negative impact on your mental health."
241,Q13. Have you ever sought professional help about the way(s) fraud has impacted your mental health?
242,QTPRW200Q2. SUMMARY - (Sum: Well): To what extent do you think that the government is handling each of the following policy areas well or badly?
243,QTPRW200Q2. SUMMARY - (Sum: Badly): To what extent do you think that the government is handling each of the following policy areas well or badly?
244,QTPRW200Q2_1. The economy:  To what extent do you think that the government is handling each of the following policy areas well or badly?
245,QTPRW200Q2_2. Inflation and the cost of living:  To what extent do you think that the government is handling each of the following policy areas well or badly?
246,QTPRW200Q2_3. Immigration:  To what extent do you think that the government is handling each of the following policy areas well or badly?
247,QTPRW200Q2_4. The NHS:  To what extent do you think that the government is handling each of the following policy areas well or badly?
248,QTPRW200Q2_5. Housing:  To what extent do you think that the government is handling each of the following policy areas well or badly?
249,QTPRW200Q2_6. Crime:  To what extent do you think that the government is handling each of the following policy areas well or badly?
250,QTPRW200Q2_7. The environment and climate change:  To what extent do you think that the government is handling each of the following policy areas well or badly?
251,QTPRW200Q2_8. Taxation:  To what extent do you think that the government is handling each of the following policy areas well or badly?
252,QTPRW200Q2_9. Pensions:  To what extent do you think that the government is handling each of the following policy areas well or badly?
253,QTPRW200Q2_10. Transport:  To what extent do you think that the government is handling each of the following policy areas well or badly?
254,QTPRW200Q2_11. Education:  To what extent do you think that the government is handling each of the following policy areas well or badly?
255,QTPRW200Q2_12. Britain's relationship with the EU:  To what extent do you think that the government is handling each of the following policy areas well or badly?
256,QTPRW200Q2_13. Defence:  To what extent do you think that the government is handling each of the following policy areas well or badly?
257,QTPRW200Q3. SUMMARY - (Conservative Party): Which of the following political parties do you think is best placed to manage each of the following issues?
258,QTPRW200Q3. SUMMARY - (Labour Party): Which of the following political parties do you think is best placed to manage each of the following issues?
259,QTPRW200Q3_1. The economy: Which of the following political parties do you think is best placed to manage each of the following issues?
260,QTPRW200Q3_2. Inflation and the cost of living: Which of the following political parties do you think is best placed to manage each of the following issues?
261,QTPRW200Q3_3. Immigration: Which of the following political parties do you think is best placed to manage each of the following issues?
262,QTPRW200Q3_4. The NHS: Which of the following political parties do you think is best placed to manage each of the following issues?
263,QTPRW200Q3_5. Housing: Which of the following political parties do you think is best placed to manage each of the following issues?
264,QTPRW200Q3_6. Crime: Which of the following political parties do you think is best placed to manage each of the following issues?
265,QTPRW200Q3_7. The environment and climate change: Which of the following political parties do you think is best placed to manage each of the following issues?
266,QTPRW200Q3_8. Taxation: Which of the following political parties do you think is best placed to manage each of the following issues?
267,QTPRW200Q3_9. Pensions: Which of the following political parties do you think is best placed to manage each of the following issues?
268,QTPRW200Q3_10. Transport: Which of the following political parties do you think is best placed to manage each of the following issues?
269,QTPRW200Q3_11. Education: Which of the following political parties do you think is best placed to manage each of the following issues?
270,QTPRW200Q3_12. Britain's relationship with the EU: Which of the following political parties do you think is best placed to manage each of the following issues?
271,QTPRW200Q3_13. Defence: Which of the following political parties do you think is best placed to manage each of the following issues?
272,QTPRW200Q4. SUMMARY - (Sum: Well): To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
273,QTPRW200Q4. SUMMARY - (Sum: Badly): To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
274,QTPRW200Q4_1. Halve inflation: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
275,QTPRW200Q4_2. Grow the economy: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
276,QTPRW200Q4_3. Get debt falling: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
277,QTPRW200Q4_4. Cut NHS waiting lists: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
278,QTPRW200Q4_5. Stop the boats: To what extent would you say that each of the following pledges from the government in 2023 have gone well or badly?
279,QTPRW200Q5. SUMMARY - (Conservative Party): Which of the following political parties do you think is best placed to manage each of the following issues?
280,QTPRW200Q5. SUMMARY - (Labour Party): Which of the following political parties do you think is best placed to manage each of the following issues?
281,QTPRW200Q5_1. Halve inflation: Which of the following political parties do you think is best placed to manage each of the following issues?
282,QTPRW200Q5_2. Grow the economy: Which of the following political parties do you think is best placed to manage each of the following issues?
283,QTPRW200Q5_3. Get debt falling: Which of the following political parties do you think is best placed to manage each of the following issues?
284,QTPRW200Q5_4. Cut NHS waiting lists: Which of the following political parties do you think is best placed to manage each of the following issues?
285,QTPRW200Q5_5. Stop the boats: Which of the following political parties do you think is best placed to manage each of the following issues?
286,"QTPRW200Q6. The government has agreed a deal whereby some people who have entered Britain and applied for asylum will be flown to Rwanda, in Africa, for their applications to be processed. If their application is successful, they would be given long-term accommodation in Rwanda. To what extent do you support or oppose this?"
287,QTPRW200Q7. Which of the following phrases do you think best describes the government's policy to deport asylum seekers who arrive in the UK by small boat across the Channel to the African country of Rwanda?
288,QTPRW200Q8. Which of the following phrases do you think best describes the government's policy to deport asylum seekers who arrive in the UK by small boat across the Channel to the African country of Rwanda?
289,"QTPRW200Q9. To what extent do you think the threat of deportation to Rwanda will reduce or increase the numbers of migrants seeking to cross the Channel in small boats, or will it make no difference?"
290,"QTPRW200Q10. To what extent would you say that you are sure, or unsure, whether flights to Rwanda to deport asylum seekers from the UK will take off?"
291,QTPRW200Q11. Which of the following statements is closest to your view?
292,QTPRW200Q12. Which of the following statements is closest to your view?
293,QTPRW200Q13. Which of the following statements is closest to your view?
294,QTPRW200Q14. Which of the following is closest to your view?
295,QIWDW197Q1_2024. Which of the following statements best describes your view?
296,"QIWDW197Q2_2024. Thinking about society overall, which of the following statements best describes your view?"
297,"QIWDW197Q1. SUMMARY - (NET: Ever): When, if ever, have you experienced each of the following in public?"
298,"QIWDW197Q1. SUMMARY - (NET: In the last year / more than a year ago): When, if ever, have you experienced each of the following in public?"
299,"QIWDW197Q1_1. Being cat-called or wolf-whistled: When, if ever, have you experienced each of the following in public?"
300,"QIWDW197Q1_2. Being stared at: When, if ever, have you experienced each of the following in public?"
301,"QIWDW197Q1_3. Unwelcome touching, body rubbing or groping: When, if ever, have you experienced each of the following in public?"
302,"QIWDW197Q1_4. In-person indecent comments or jokes: When, if ever, have you experienced each of the following in public?"
303,"QIWDW197Q1_5. Unwelcome sexual advances or requests for sexual favours: When, if ever, have you experienced each of the following in public?"
304,"QIWDW197Q1_6. Being physically followed: When, if ever, have you experienced each of the following in public?"
305,"QIWDW197Q1_7. Indecent exposure: When, if ever, have you experienced each of the following in public?"
306,"QIWDW197Q1_8. Online indecent comments or jokes: When, if ever, have you experienced each of the following in public?"
307,"QIWDW197Q1_9. Sharing of suggestive or indecent content online or in-person: When, if ever, have you experienced each of the following in public?"
308,"QIWDW197Q1_10. Being forced into participating in sexual behaviour: When, if ever, have you experienced each of the following in public?"
309,"QIWDW197Q1_11. Had images taken and/or shared without your consent: When, if ever, have you experienced each of the following in public?"
310,"QIWDW197Q1_12. Other form of sexual harassment: When, if ever, have you experienced each of the following in public?"
311,"QIWDW197Q2. SUMMARY - (NET: Satisfied): Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
312,"QIWDW197Q2. SUMMARY - (NET: Dissatisfied): Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
313,"QIWDW197Q2_1: You said that you experienced Being cat-called or wolf-whistled in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
314,"QIWDW197Q2_2: You said that you experienced Being stared at in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
315,"QIWDW197Q2_3: You said that you experienced Unwelcome touching, body rubbing or groping in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
316,"QIWDW197Q2_4: You said that you experienced In-person indecent comments or jokes in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
317,"QIWDW197Q2_5: You said that you experienced Unwelcome sexual advances or requests for sexual favours in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
318,"QIWDW197Q2_6: You said that you experienced Being physically followed in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
319,"QIWDW197Q2_7: You said that you experienced Indecent exposure in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
320,"QIWDW197Q2_8: You said that you experienced Online indecent comments or jokes in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
321,"QIWDW197Q2_9: You said that you experienced Sharing of suggestive or indecent content online or in-person in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
322,"QIWDW197Q2_10: You said that you experienced Being forced into participating in sexual behaviour in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
323,"QIWDW197Q2_11: You said that you experienced Had images taken and/or shared without your consent in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
324,"QIWDW197Q2_12: You said that you experienced Other form of sexual harassment in public. Did you ever report the incident(s) to the police, and if so, how satisfied were you with the outcome?"
325,"QIWDW197Q5. SUMMARY - (NET: Ever): To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
326,"QIWDW197Q5. SUMMARY - (NET: In the last year / more than a year ago): To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
327,"QIWDW197Q5_1. Being cat-called or wolf-whistled: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
328,"QIWDW197Q5_2. Being stared at: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
329,"QIWDW197Q5_3. Unwelcome touching, body rubbing or groping: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
330,"QIWDW197Q5_4. In-person indecent comments or jokes: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
331,"QIWDW197Q5_5. Unwelcome sexual advances or requests for sexual favours: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
332,"QIWDW197Q5_6. Being physically followed: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
333,"QIWDW197Q5_7. Indecent exposure: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
334,"QIWDW197Q5_8. Online indecent comments or jokes: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
335,"QIWDW197Q5_9. Sharing of suggestive or indecent content online or in-person: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
336,"QIWDW197Q5_10. Being forced into participating in sexual behaviour: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
337,"QIWDW197Q5_11. Had images taken and/or shared without your consent: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
338,"QIWDW197Q5_12. Other form of sexual harassment: To the best of your knowledge, when, if ever, have any of your female friends or family experienced each of the following in their lives?"
339,QIWDW197Q10. To what extent do you have trust in the police's ability to keep women safe in public?
340,"QIWDW197Q13. Which of the following experiences, if any, have happened to you at your current work place?"
341,"QIWDW197Q3_2024. SUMMARY - (NET: Always/often): How often, if at all, do you do each of the following chores in your household?"
342,"QIWDW197Q3_2024. SUMMARY - (NET: Rarely/never): How often, if at all, do you do each of the following chores in your household?"
343,"QIWDW197Q3_2024_1. Prepare meals for yourself or others: How often, if at all, do you do each of the following chores in your household?"
344,"QIWDW197Q3_2024_2. Clean areas of your home (e.g. sweeping, dusting, vacuuming etc.): How often, if at all, do you do each of the following chores in your household?"
345,"QIWDW197Q3_2024_3. Do the laundry for yourself or others (e.g. wash, dry, iron clothes etc.): How often, if at all, do you do each of the following chores in your household?"
346,"QIWDW197Q3_2024_4. Do the grocery shopping for yourself or others: How often, if at all, do you do each of the following chores in your household?"
347,"QIWDW197Q3_2024_5. Perform home maintenance tasks (e.g. fixing items, gardening, painting etc.): How often, if at all, do you do each of the following chores in your household?"
348,"QIWDW197Q3_2024_6. Manage household finances (e.g. pay bills, budgeting etc.): How often, if at all, do you do each of the following chores in your household?"
349,"QIWDW197Q3_2024_7. Provide childcare for children (e.g. feeding, bathing, helping with homework, driving to activities etc.): How often, if at all, do you do each of the following chores in your household?"
350,"QIWDW197Q3_2024_8. Provide care for elderly or disabled family members (e.g. helping with medications, personal care, doctors' appointments etc.): How often, if at all, do you do each of the following chores in your household?"
351,QIWDW197Q15. Which of the following best describes your view?
352,QIWDW197Q16. Which of the following best describes your view?
353,QIWDW197Q4_2024. Which of the following best describes your view?
354,QIWDW197Q5_2024. Which of the following best describes your view?
355,"QIWDW197Q6_2024. Have you experienced any content, comments, videos, or images online in the last 12 months that..."
356,"QIWDW197Q7_2024. SUMMARY - (NET: Favourable): To what extent, if at all, do you have a favourable or unfavourable view of the following people?"
357,"QIWDW197Q7_2024. SUMMARY - (NET: Unfavourable): To what extent, if at all, do you have a favourable or unfavourable view of the following people?"
358,"QIWDW197Q7_2024_1. Andrew Tate: To what extent, if at all, do you have a favourable or unfavourable view of the following people?"
359,"QIWDW197Q7_2024_2. Elon Musk: To what extent, if at all, do you have a favourable or unfavourable view of the following people?"
360,"QIWDW197Q7_2024_3. Donald Trump: To what extent, if at all, do you have a favourable or unfavourable view of the following people?"
361,"QIWDW197Q7_2024_4. Greta Thunberg: To what extent, if at all, do you have a favourable or unfavourable view of the following people?"
362,"QIWDW197Q7_2024_5. Barack Obama: To what extent, if at all, do you have a favourable or unfavourable view of the following people?"
363,"QIWDW197Q7_2024_6. Taylor Swift: To what extent, if at all, do you have a favourable or unfavourable view of the following people?"
364,QIWDW197Q8_2024. Which of the following best describes your view?
365,QIWDW197Q9_2024. SUMMARY - (Rank 1): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
366,QIWDW197Q9_2024. SUMMARY - (Rank 1-3): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
367,QIWDW197Q92024. SUMMARY - (Rank 1-5): Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
368,QIWDW197Q9_2024_1. Gender recognition and the rights of transgender people: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
369,QIWDW197Q9_2024_2. The economy: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
370,QIWDW197Q9_2024_3. Inflation and the cost of living: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
371,QIWDW197Q9_2024_4. Immigration: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
372,QIWDW197Q9_2024_5. The NHS: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
373,QIWDW197Q9_2024_6. Housing: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
374,QIWDW197Q9_2024_7. Crime: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
375,QIWDW197Q9_2024_8. The environment and climate change: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
376,QIWDW197Q9_2024_9. Taxation: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
377,QIWDW197Q9_2024_10. Pensions: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
378,QIWDW197Q9_2024_11. Transport: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
379,QIWDW197Q9_2024_12. Education: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
380,QIWDW197Q9_2024_13. Britain's relationship with the EU: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
381,QIWDW197Q9_2024_14. The war in Ukraine: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
382,QIWDW197Q9_2024_15. Social care: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
383,QIWDW197Q9_2024_16. Poverty/inequality: Which of the following policy issues are most important to you when deciding how to vote at the next General Election?
384,QIWDW197INCOME. What is your annual salary before tax and deductions?
385,QIWDW197_JOBLEVEL. What is your current level of seniority at your workplace?
386,QIWDW197_POLITICS. Which of the following would best describe your political leaning?
